                                          ,pkgs_before,pkgs_after
ied62d88ca778356d6e962d3cef1326ad048938fd5,19.0       ,15.0
iebfbba9c0c9b28fcf9e43b21e009c5e684c4d2598,14.0       ,11.0
ie07b5896cb3effe403074c67ae255a1fcef0e2f87,12.0       ,8.0
ie96d26aeaeb51c8ca52c554e08f3365b972548e9c,8.0        ,7.0
ie2c23c62337c85df8e657de0c025b4740cbb4e205,15.0       ,14.0
ieb536885154af25c69e6ee8b3fb9abff18822cb3b,10.0       ,9.0
iedf716a1d7d90f75d85e05f469e1e7bb316834890,13.0       ,8.0
ie5030fa62744ba481aedbd060fbbac3e5d45f366f,11.0       ,7.0
ie2954d3427fb004fca107c9869fce82e9cf6e8ffc,21.0       ,17.0
ie02111ec34d70ac131ff069ae92306717947d347e,10.0       ,5.0
ie248ff447428bc560e46ff813476654aa318361e3,14.0       ,9.0
ie61a017b2dd24a50fe8192b435d84b8fdb76a4d73,13.0       ,12.0
ie64518f09b16e32c48dae287a1584c1211093639e,18.0       ,12.0
ie8c1c6dcc296bb6fa955853df32cf404294159e79,10.0       ,7.0
iec84837dd4cf71924455d93486f5405d0d5950615,14.0       ,12.0
iedec27ad16f1ace1942317957da45ca7227e6996e,14.0       ,11.0
ie477046cf2e6dfbf78c13a7e28fb84118c4ce2251,11.0       ,7.0
ied778e5f88d1fe12931a168fc0621ff2727b536bf,13.0       ,12.0
ieccd0ed56a14489a66b2a6cf2863a3410f052fc94,22.0       ,16.0
ied0f8f7b8cc14f5e6fbebdce443eb3ba138ad9dda,15.0       ,11.0
iec38179fa244b3d9553e98fc0642d674d182bdc69,16.0       ,14.0
ied02dccd5171e721421670e94396960545c68fd90,20.0       ,15.0
ie5e11f33e67a3950a17ef3edae2e6dc23763fd2f7,15.0       ,8.0
ie58f5975af4b481bde5d7d78ed902e7c426c346af,10.0       ,7.0
ie39efd5e647f6d3ea5aab06e3772011da09bc74ef,10.0       ,10.0
ie5bba0240910c8592444f90326749a5b838b4e4e7,14.0       ,13.0
ie5aa9e1775197a6370c7884177f85e98910318a30,9.0        ,7.0
iecd1336e6197b95f9d3dcebb00aceef847d13b02d,18.0       ,14.0
ie6c3be92bc25d9c5053e8528e5dba572cc2a1a601,17.0       ,15.0
ied2c8d05d824e78b802a31beb9760b1ab3689e0f6,16.0       ,10.0
ie59f8f239135df0d7cb04f8bacd1f30951a9eecd2,19.0       ,18.0
ief22068e40ed1a12bb53654362e4b63e6668cdd5f,16.0       ,13.0
ie5edffb303bd1e9793a4d38a10163d4fb7f542f77,12.0       ,11.0
ie740614b5b8019c23b99918a8a63970b029b45e84,14.0       ,13.0
iea90b0f7f9d1101dbecdb5e5d10c05edc793e5f66,10.0       ,4.0
ied1c16312a1f878a051f56847873c601db1788c39,17.0       ,13.0
ie7589c2f9ef85f5a32359acbd512053a95f8567b5,18.0       ,16.0
iec07ca969089294805f92bc3bc3a4a25eb78e442f,12.0       ,9.0
ie3f27005725b23ce2f8dec1abe10cf35ca5b9e44d,13.0       ,9.0
iefb410424f6d334e093eab69e1cc4c994a1807970,21.0       ,17.0
ie54f81dbfebb58784d27180040c0b363b8e2dec8a,14.0       ,10.0
ie5f74b601c86cdc3643d4e931d475295f6f1b2931,14.0       ,11.0
ie0ceeb4df76847d2c85c38e2e9b9e40c099e146c6,16.0       ,12.0
ie1f6bc83f67dd327bfc3be6d6f00bf1299282b04e,9.0        ,4.0
ie17e3a508329465f8f40184af2dab0be7b02b82f0,20.0       ,12.0
ieb1e185fbe7d723547ed4b2d99e5ecffa4a0af2de,18.0       ,16.0
ie36ab31e1e611559c1919021c14846f47abbe3b02,5.0        ,4.0
ie0e1d8b94033a46e557c5654d421e038a05fa87ef,17.0       ,11.0
ie6681ed385684207eda520b31e253dcf5a6f57ab2,22.0       ,19.0
ie7ab3152568ae359624a66d3ada8341d0f1eb794b,20.0       ,16.0
ie4c75a14344623a2a967f06440c8b0f5119466554,18.0       ,14.0
ie191148f13fdbca32b13b22ce06396073a193f25a,10.0       ,7.0
ie0ce9535bd3448d3878256865af612c7fee379849,13.0       ,10.0
ie27d4aafacf476c4437e8db41ec6af7a16469f994,12.0       ,10.0
ie7241bf0222508238753a9ce44ca8ef977f148604,19.0       ,15.0
ief2f0676b508077ae6bb5ae29e9ea76e132dfa46c,14.0       ,11.0
ie46a47cf5586be5fdf70c2f8b044a9afcbd9b9aa7,12.0       ,9.0
ieee924e30a9981bd4248fe8427280ce63afa69df7,11.0       ,9.0
ie6722ab1e17f50034ff990d51aeb0d7cae450dcb1,18.0       ,15.0
ie2ff230c5e343cd689a6566bb2b50cd934b91341d,18.0       ,16.0
iec64567bd8a8f732ee38f2c52a934c7e5f108df67,16.0       ,15.0
ie320fa7253100498893bd51e4f131cb198759356d,24.0       ,19.0
ie5d13f25821847d93e1222cfd28516ebb27408d63,13.0       ,13.0
ie831f95a967184da1d652447cf1992368d393ff50,15.0       ,11.0
ie6a32895a482fdc592f2f96b3d6abc1ee83654edd,15.0       ,14.0
ieab36a15419279d21b74d0785292b96c0890eb3f0,14.0       ,9.0
ie03191301eccff87cf4de6f7551746221c6617b83,13.0       ,11.0
ie2c0ceec3afcfa250d25a459b36b6f00a8c048305,14.0       ,10.0
ie0fb781ef3b8ba95322b2d31598367fbfb18f16a8,11.0       ,7.0
ieeaa0741c44adbe24112d7c8b005705a384552ca9,18.0       ,17.0
ief0aeec3bfc054bf8cc15f63869f70b3700b18731,21.0       ,16.0
iea67c4ef3a6ad8f6371dc85ccd2f29dcd83a99f3e,15.0       ,11.0
ie9c39c2f8a0586e262af8d3571f1922dbc5d0227b,15.0       ,9.0
ie4f89d25305ce6f5d9263c3042ba7edf247131e93,20.0       ,14.0
ie1ab9cfb50320279e28d8a8e3801cbe64e5945ed4,13.0       ,11.0
ie8fbaa372b09a6dc7224fb21c0ce962638e0eee24,13.0       ,12.0
ie2168070678568e976f961f7d139b2a4b5d906490,12.0       ,8.0
ie02566211a1490701801050551a45614306d77446,20.0       ,15.0
iefa3530bd0fcbb7fa33b90092cf58b26264329efb,19.0       ,15.0
ieac2476f0750b84dab7c282f96656ecac38f6f705,22.0       ,16.0
ie09d2654a37b4aba6a3495f1e06c24cd81a97d299,12.0       ,8.0
ie3d8c95ddaffa418ad3e2a067a1c28021245d5b95,14.0       ,12.0
ie57b768dd6719a0b2fb0e24ec696174105e81131b,14.0       ,9.0
ie253d4349a18579d5fc1c9cbc5a7bfa2b860f0d81,9.0        ,5.0
iea97513e551cef47e69b4f7c23a851eccfe6d00fc,9.0        ,5.0
ie53af462b2a13484e037ee4d1c5669da1eff028e5,9.0        ,5.0
ied9c3bc06f0c4c4434cf7a8f221af2a4a67c78dee,13.0       ,9.0
ieed07a9c3cf576bfa7f98735bc2147f44e1536179,18.0       ,14.0
iea06dd70d67f03a47f548bad77962b30750b716af,20.0       ,14.0
ieb14153f8ebcf75ba7967d4a193bc84b276492a94,15.0       ,10.0
ie0a9a1cd22fe9293a3d3eba4ba5f6183dc1807c33,9.0        ,6.0
iec5dcec5a81b6c8e008335aba7dbede08b8a80f12,21.0       ,16.0
ie864696a04fd912dc9c4cd7e7f8a1f620ad060c20,13.0       ,6.0
ie1d126f8011c2695a534c87bf760e66dadfba61d6,14.0       ,12.0
ie097fba696850e8d7a11438ee44afb49cb3a73c09,11.0       ,9.0
iec14e5afe34b0d7adb8d7770c91eed8553cdfef3f,16.0       ,12.0
ie7457fe591d5e6dd2f6c372e543f74c111f559459,17.0       ,13.0
ie66d5c9af845e0d274179c187fbfe40a56f9c5b61,11.0       ,10.0
ied7593f17cf76368c346974ae0c41ad168f552bbb,12.0       ,9.0
ieb16dedde86baa8ea6534b79c25c0758c99bfdda3,15.0       ,11.0
ie873e0ffe5ce233799b56d5fc5264f230ba8125a5,13.0       ,10.0
ie6ccac18eb8b9dbb154744fdeb8a4888a2b543235,17.0       ,8.0
ie80475313d7e24c928118c9334270fd97eaf6f4c5,19.0       ,15.0
ie3b7ed050609d3d43fcec516bcd74032a685f7b4c,17.0       ,14.0
ie12f0f34cd9642ff73cd09eb9ae43f2219b6baa40,14.0       ,11.0
ie1b4bc6d141505c556e2740ee4c8ea91137ed2c85,19.0       ,17.0
ied04f581c325beea807e1d370db9c36614604c58e,11.0       ,10.0
ieb4f4a7c09363276fd716d8248e67eef6d1a4fbba,20.0       ,17.0
ie504556a2c20f2c83f9378ff9f91cd51b8e30dd30,10.0       ,9.0
ieb2da68d887de4ba09df548e0fffbbbac16572ae1,16.0       ,9.0
ie6dc90d38b7e051ed55841ab8f52ee32608cdd7c5,11.0       ,9.0
ie4e53f9e66ec8e9a956a776daa1df650e19bb264e,16.0       ,14.0
ie73f457178b4350773bf7c4279816310ced4ba9cb,14.0       ,12.0
ie62a7c1c21121089dc85966127cbf71f12e25445b,21.0       ,15.0
ie61d69c70f6e5b0e112031370a1506a1f57a7a1b5,11.0       ,8.0
iee5ee825ae10b8b761b3781e33b2d260270efa522,8.0        ,5.0
ie91b5465e0a6e71cec11742cf2f36d40c307e737d,15.0       ,14.0
ieabdd520cbb6f33dc571baba008e80a0bf2c12e8f,13.0       ,10.0
ie6a8b15398cb28815690269d98adac81e59d0ad2a,14.0       ,13.0
ie6ae627b4c8b7736dcede61289e96a1369bf5203a,10.0       ,9.0
iec4ef5047a265e0388c85ac8c268d62d3d526ad2b,17.0       ,14.0
ie7e496a72594b69024d6a7eb377bac67a92bf1186,15.0       ,13.0
ie9a8335313d1974f95d7bf54af0bba515691c33d0,12.0       ,10.0
iec3d7362fec3dafa63d702b881e4a8f8740d63cc7,8.0        ,6.0
ie5ef2304ca7e73760f8f90f853169b8cc901a3e99,19.0       ,13.0
iead4292f00532e44776702834943f65bff8fffb24,14.0       ,10.0
iece8d333731c4560d21208a940399771b5b2718e7,11.0       ,9.0
ie18c4280b70d8e37253946663cd1253d7a8767550,14.0       ,10.0
ie34e7eb355a6441a32e47b4bbf2b7ae25a0b768e0,8.0        ,5.0
ie8c76eedb0c48963defb5b0af0042776e88e34045,19.0       ,16.0
ie857d269172691a35c93c8be863a6a4f68683a90e,18.0       ,16.0
iec686a0388ed184c51028c3b4defd342c03ae9a71,14.0       ,10.0
ie8cb8085403b75a19dd5a7422f01bde2d2ee22ef0,17.0       ,10.0
ie9d4060d1c96d4de86364d923623412d2916e4c88,11.0       ,7.0
ie39a82fdf0f443e86cff969daba43d14c18aa5548,16.0       ,9.0
ieb402f5cf515794c21f150a15bc0ed4b4b9e46e8b,13.0       ,10.0
ieb0182a537f3370d3d4e49b88e31fe26545ec7a28,22.0       ,17.0
iedeba8c91e21f9dd364fbc49a8278a41411915e2a,18.0       ,13.0
iedcc365144be12f404a8c7fd9a64167a917e9d9b7,13.0       ,9.0
ieff6e7ffa565f77ce5a60453a6fddc5de792944a5,14.0       ,11.0
ie14ee050657dff844bb2824de361ae09491529f13,8.0        ,7.0
ie37b332f88d5978247abe0de19c4039255977b3a9,13.0       ,12.0
ieea397b3e5d4e547fbc4491e9c188134b7e1f0178,15.0       ,13.0
ie7ea474e3c0e785ebfd76c29f6c4e14b0596975f4,17.0       ,15.0
ie5b1f44430a7ea6dce4cdbc2bcc85b12214fa6266,20.0       ,13.0
ie712b9f35984927b28f5d086fbd158d09750cf7de,6.0        ,3.0
ie6c2bfb05a4d3ca2acf485c6b2733c064c3f1b276,9.0        ,7.0
iec11a887ab84c91c4b3fcb450188ebcb49020e0ad,16.0       ,11.0
iebdfe517941094198d49abb7d029bf00780329074,14.0       ,12.0
ieec3f83905efa3ebfb932ca3d95ed39508be6dc90,15.0       ,13.0
ie524cf5558cbbcba7f689dbfbcd775f56fecd3684,14.0       ,12.0
ief5a10975a9203f294dab93f563e0691850734b51,15.0       ,12.0
ie97fa4c6858749dd116cc5f9b02411be4528d8b19,16.0       ,13.0
ie891dd0c6b6346e3faa2bdeaf1d5b099c5dcd6585,14.0       ,11.0
iec7f44d8a4cd0b60ae305f00b307d860f66619547,15.0       ,11.0
ieacdaa92692a0f6b6f25ad77241582b1a05cfbb92,8.0        ,5.0
iee6895490b6703b0f4c9fda917a1eb1d65094b701,17.0       ,12.0
ie6ca2cd84668d53d72d3f2562820c9991ce28e32e,8.0        ,8.0
ie42e059b45533b2aa9235393ae5b405904ea040d3,16.0       ,12.0
ieab6b27108879ac0acdc1d63b78a9f7ad37946243,19.0       ,15.0
ie96f4bdc18235fe034184c5e977dfeee29cccb0e0,24.0       ,20.0
ie48f48c60c7acd853c1e7e318c9b22d8eed967ab2,9.0        ,6.0
ie931fef4e16d1b8d66666a9666f8b84682507e05f,22.0       ,19.0
ie8c7be673fabcf88b6c0c3c08bf7b3b33743a7b37,17.0       ,14.0
ief8369043758d21f7059344467717cba441339249,11.0       ,9.0
ie2ae43546666355e3c7a97ff719d906b61a500ac3,12.0       ,8.0
iea662e5d67fe78d1c06f69f157a196615df60d41e,12.0       ,7.0
ief6d04e1b3aa6bec02e22020d0bf637e608dad013,13.0       ,9.0
iefee6147383c3fce930e930ee10dfffcf4a9bf3a7,22.0       ,10.0
iea370dc958f31feb710cca8173066e3f44d9b2ddc,17.0       ,12.0
ieb9da629615eb206c0fe1801ad820a5c4c108ad03,12.0       ,12.0
ie2419c16ba973ccdea703f4e9e8a50aedc376684e,14.0       ,11.0
ie6012c95b30b6d7c531ec10e9fa420aea3a009a36,19.0       ,11.0
ie4e50a1d56a04b81052d1ce0af1c14489d773268e,13.0       ,5.0
iefbb7959703d4cb3b298a447fdac5f1559180d1bf,18.0       ,15.0
ie859f76fc3218d073e12f136772cafa4d01f87632,19.0       ,19.0
ie726519016d8d06c56a3f5860eb3c0251e6ab3737,18.0       ,13.0
ie3d009a8c38b9d020c867ed75cdd8f57cff7700a5,13.0       ,13.0
iea8d1076c22aef285e4027ae8da501c5189c5bf45,10.0       ,9.0
ieef0635adf32d57dde635f08f8e654139ecca46bb,11.0       ,8.0
iebd3deafb923ca60f42ec85d93077a99d4d8f483b,18.0       ,16.0
ied727c97cb253522e2013949013ed0f01c6a66f32,18.0       ,14.0
ieee3c04f37ba32296fed58a3e916a4a851a3fe828,11.0       ,7.0
ie02b6633ed73aaa456cca58fa5f61bec556722213,21.0       ,18.0
ie4a1ad5ea3cf8737ba583588359c34f6da6ba575c,16.0       ,15.0
ie4e0436bddc27d4cc0f42daef913f15dd314bb5b0,21.0       ,19.0
iea067d60ab9ded867bb468a3e635fe5307989b2ef,19.0       ,16.0
ie5883d7aa2bf9570f52ff79d49ab65c44ad011bbf,18.0       ,15.0
ie5d4d7571ad1dc6570ab9b4c324debf3e6de9acdd,14.0       ,11.0
ief07719ddced717ee611b9bdf7ccf75888bd1bd11,21.0       ,15.0
ie33ef6aeadab772c068d08e90f75596dc1de0efd7,16.0       ,15.0
ie624315627a4c9e04e360c620f54791b581eb56d9,12.0       ,9.0
ie36afb3e88884d144a0419a52389384ee36cbd3cd,16.0       ,12.0
ieb8794652008013853b4153f04bc265f262a222af,16.0       ,10.0
ie5dbf31029e5b6ba39a2c44188613418f5ad2e80e,10.0       ,6.0
ie79e79144d493c8b64541a6772ec271e33da1c7ac,13.0       ,13.0
ie4d5ed393f11e1f049605207d0f4965725ccd809d,12.0       ,8.0
ie04519e32fd90aff5d1c8a8520d383deb4483536d,24.0       ,19.0
iebf85ff22315854fde42b820330a586e99e3d6a82,10.0       ,8.0
ie15bb81dedbcb9757983f86f9db86371f0c5cde9c,17.0       ,13.0
ieb011726168040d4ec52718d4ef7b3c3b34d1c37c,22.0       ,16.0
ie3e55f05dc5e3a08b32edbc516c9b5e7428dfbfc9,14.0       ,11.0
ief576188c2125ff061e2b44d84df3d58d0a7c36d4,15.0       ,11.0
ie87307fa7041b7c2be950aaf5ab8e77c3a5cc139a,12.0       ,10.0
iedd30c8ce2e817c1f20b327e07ba16ab95b3533d4,19.0       ,15.0
ie9b50e79a4f299402d8bc406a5f774717a0045711,11.0       ,7.0
ie0149ef45394fdbe06b1c1ed647385863b46dc67f,14.0       ,11.0
ie545d8279b33de7bbda1a157928e722576d43826e,12.0       ,9.0
ie5080e78d334e79cc138189f6c22bbabc6ac7e3eb,10.0       ,8.0
ief748687c0d2b546678928e79550c281691240625,18.0       ,12.0
ie4221624021534379460af1de220a138ad77e5989,16.0       ,13.0
ie07d9b0d9b8aaa9d0b1fba589b6ca5ac910ec768a,18.0       ,15.0
ie1deb5bb3c1a2fdbe55daff7115fcdc657affd3e2,16.0       ,12.0
ie36892f559d0a79110279237d09acf1a7b60342be,10.0       ,6.0
ie0620c38e442159a5bfc2e4aa671246fe22c0614e,14.0       ,10.0
iee332eaf592a5a01bebfa5bffd5ebb2bf4c1a5243,13.0       ,10.0
iea8ecc121e896af180c4e97476a208b556f6752d0,19.0       ,14.0
ie36d9b77cfae50c568109f691bf376c6cc30e9469,17.0       ,13.0
ie05d000a6441f94a8d9088814b487255166a1f1ea,12.0       ,9.0
ie612ca930d850642092b8628be6ad3744f504c292,16.0       ,14.0
ie95ebc9258b761a97e2d6c93e0d7762988cdbdb23,18.0       ,15.0
ie3cd45479f1b5e9e9ecb784268a0bc5808fb2d5a2,12.0       ,10.0
iebd0365be10cfc38fe5cbcf930cec1462295ef5ba,18.0       ,17.0
iec37783131edd358a4366b132eb75b4b5c68e589b,21.0       ,19.0
ieda7797d716bc1619ee731187b825b59aee0fb9cc,19.0       ,11.0
ie259dfa67729da4bf13a8fb868d31259cb66436bb,17.0       ,16.0
ief843fdb64e82a16ad562961bfae72a04c6d35154,9.0        ,8.0
ie6d71ed90cdbf95db3ee4b723973ef9af5693adcd,14.0       ,9.0
ie1d2fb956c845e618ae690484b5b71d91ff728154,10.0       ,9.0
ie4fcb48296d1fa6168142326635d2874bb80c3774,13.0       ,11.0
ie070f3932ce28e875a6dd78c23f296ec7eb878b3f,21.0       ,19.0
ie8a22407492d08a9c612842103b32098d06b512f0,15.0       ,12.0
iea2ae9d8f557fcd21cccdcf6bedad1316acd2b5f2,14.0       ,11.0
iee716957c9a2bde64799feddaddc76910d2500909,11.0       ,10.0
ie125bcce23a1f6c6c7e4cb395acd715b0eb9bb0d2,15.0       ,13.0
ie2d340a284f873b6f7e583d6d16f4ec1eb4526600,10.0       ,7.0
ie950a323512483d501c148678a6c6df4ba1633054,16.0       ,13.0
ie7ca3849352978a7b2c922b37ceaede2315451efa,14.0       ,8.0
ie60d19a30a79300a19cbc1db697f6f747a067bb24,11.0       ,9.0
ie51356a3cc5b4aed83451229c381eb7b530941509,17.0       ,12.0
ie0366c7740df0264ff50a94a10e735d70aa1951a3,15.0       ,9.0
ie897a87bf2f13837c5b6036de8aa80718a588a09e,8.0        ,7.0
ie392280b3a90e8efeb3d337881df19135e1115293,24.0       ,21.0
ie0fd3a7658beb1593a1841c217177ee66bc69deac,15.0       ,14.0
ie80048ab91eec9f2bb6381010557cda48606ea8f9,9.0        ,7.0
iea9bfd1967aa8615e89bf2eb1fd3870b6c3a58fd3,18.0       ,14.0
iecdd54047dd88288f04d11f2b47f68023d1a8e6cf,15.0       ,10.0
ie4142f5100b37e6647a1bb259390346f5b15d7e30,18.0       ,15.0
iee431ade816031ce14cfa45edec689528a4f0b97a,22.0       ,17.0
ie6e4d6b52da9a4dd1f57c9d7b8df84af986fafd3e,13.0       ,10.0
ie3b6ff0543dfdebd2230d924bf35d176de54416a0,11.0       ,5.0
ie5c2d8e6f3664e1588c77beab4c5e75bd5a5aee9c,19.0       ,11.0
ie55dc45de7c8e590ab7fc36157b1325ebca69c2ae,16.0       ,12.0
iee06d9d18cd8db550becc8963f976779cd3c8ad86,19.0       ,17.0
iee76d3c3c804e1d4459cc4de9757c5ee7d0984fc5,18.0       ,16.0
ie423e5c9d4acd6aea9a9e29b32f9d7135bf171a47,17.0       ,10.0
ie09b8076042d8010b4aa7b170d6b254b2b15a4d4e,12.0       ,8.0
ie70bb976fc68c52fe1014a3e4962c0695c80cc475,14.0       ,11.0
ieaccb99a72e8fc04ffc6a3e443f3bab43841a5e15,12.0       ,11.0
ie641c177b1f5d03b03d146124266ace40f0c14aa2,9.0        ,7.0
ie9dd590a4e2b77a01e68bac20b704dda0ccfa0631,16.0       ,12.0
ie253cff42d11a3e6d8a4628e01543f443175a816c,19.0       ,13.0
ieaa116b92db74eca58ca41d8b92c604db5237a262,16.0       ,14.0
ie989926185a0d81105eb8c7ed8c16aa7af2625a6a,14.0       ,11.0
ie6cda805e3cad7bf507e7ee7d9f78ea5d315c1286,10.0       ,8.0
ie5eb5019190ce438fb67e34242e234a0ce847f63a,14.0       ,11.0
ie75705d9b443d3c488f50db9e72fc396b27d97b6a,11.0       ,6.0
ie38f26d7395c943f23d522cd068d12d8b67341047,15.0       ,11.0
ie7e8ad53925558b3a6e72b43a8ffe22cceb2e3c67,13.0       ,11.0
iec0e3106ad172b8b487d50055dbb7886d09428350,17.0       ,12.0
ie47e6fd11ad1c39e11ba1ed0914e03c2ca34b82b4,21.0       ,12.0
ie63e6f9782a96151f1c9373514194ddf171e4a528,9.0        ,9.0
iefc0c9687612d3dffb93a97df190cbaa06f2150ab,25.0       ,19.0
iec4970b029a31c9b73f49c423cdc9e62dbace6470,9.0        ,6.0
ie9c9d5543de0ba175ee97d4d7dd573509c231facf,11.0       ,9.0
ie39f2e3f8aaea595bd0b0b6be95fa8e01bc2c0f58,13.0       ,10.0
ie6cffc4097984073fe99073964afe12d7c2b09a9b,13.0       ,13.0
ie88b0d08e5dd26e1ab8f4750dbca0d3e0757285ee,14.0       ,13.0
ief1c60cb961e4ae992114db6e487b5fb798a8bdab,17.0       ,15.0
iecfed9fd670dfdc0b14f70f3291098d08e8efd2a5,11.0       ,9.0
ie3176fb660754c3ae289e2b443ceada254b94ac9b,20.0       ,15.0
iebdd8e5b3b1dd0be097d79b060aae284bab9dd2dd,16.0       ,14.0
ie1009beaca70a1aece6c6e4248d4805952319dcb6,19.0       ,18.0
ied3c21533a672a76417a291b303904d7a83e4c9a0,9.0        ,5.0
ie199dc50f5988c8bc9f0e30748d2b119bf93d51f1,15.0       ,13.0
ie158fc0b84f706666c672747267b0402337af0d2d,10.0       ,8.0
ie6edc35e08ef6046b3afbf3e69a75a5c7b728650e,12.0       ,9.0
ie3e83bf53350c42f57ba95b61406737159d00e2e2,16.0       ,13.0
iea64ccd49579386432990fd1dfa0d2483a0d20759,15.0       ,11.0
ie6451fd94a11a5d65a90fddaeba365ec2a57a677d,14.0       ,13.0
ie1c21ef2ae1e4d365b283ae12efa86440f5d98c3a,11.0       ,9.0
ie1000a4b4e8cc009dff748f0519bf4b08c9673f8c,13.0       ,7.0
ieb308ba879d8dadad3905cfa7118ca283868971d9,10.0       ,8.0
ie25a7935274568aa5bda9fd7854e8e44348ce2570,13.0       ,12.0
ieb096a6b6726cc7b9ec33d8611b3ff5f72f02b7ac,16.0       ,13.0
iecf1dfff80945264d6fabf075f81f164007c6c7e6,17.0       ,16.0
iecefa0579f9cc49e7605f5b13cf95a7b91864f064,18.0       ,17.0
ie6f3e8ddee47ad56c18cc3f1e82729cd74a60a575,17.0       ,14.0
ied75e1d2a67881986823536bc43a6dc8a96094eff,13.0       ,11.0
iea8650909e70587e9642206426f0050710e2eed2a,19.0       ,14.0
ie1bfd04040484cc42abcda232f92762785462d4af,16.0       ,13.0
ie178003df5d7b3ecfbb6b595b2c5c2a22f4c3fabb,13.0       ,11.0
ie19f9c061f5979de90dc7e30878c4d3167a6feb80,14.0       ,12.0
ie74596ddaab64d4936f52394a47177c1004169324,20.0       ,15.0
ief758dcf87779ee987738e83e356f551e3b726fb9,15.0       ,9.0
ief15a4f5bc502e306a61dbef274bef6ee21abcbda,11.0       ,7.0
ieeb5d2e2b9ecb9db02cbf1662ed36ddf3c094b877,13.0       ,9.0
iefb465fb78e3fefcb34f540007adade0f5bddbd68,11.0       ,6.0
iea20173fab45ffc442b8ce02ae79fc48111c02726,8.0        ,6.0
ieb496213c32c5f1205d2669e7d54d47fffda39d54,18.0       ,12.0
iee9c68504d352107950d84f800206a1945cfa9c03,13.0       ,10.0
iea9e32b3c56566b7efc9af8ee3e1cd2a2da3e1122,15.0       ,12.0
iee0ada4666a4c1da37f0d23d0e9695b2cb7b070b9,9.0        ,9.0
ie96caa87474115f8ce844c83f5bf5d5fa4fae097d,11.0       ,9.0
iece366253f88fe9cfa6eb7161a874ca89530f7950,13.0       ,8.0
ief8df03646886d40646e0463de287b190ac877fae,11.0       ,6.0
ie98e561e135251264847804e8bfc770addd91fecf,17.0       ,15.0
ieccd4beb23d49114e66cf9fa0cfb57fe099051dc8,13.0       ,10.0
ie0c130a60c045371134aa96dc478523af304723f5,12.0       ,6.0
iee226fa319dbe1662de299abf9eeda2245f8ade69,21.0       ,17.0
ie7883ea40202a906ab2c266a559b47e12db057cfe,17.0       ,14.0
ief28971faebbee1a019e23b36dc856b63d86f5476,13.0       ,12.0
ie5e8c25765f9f8dbc57d8bec11ca4a8d1ed057e20,18.0       ,15.0
ieb675c06fc11e751d29b1c010025467259b9f4e82,10.0       ,8.0
iee947844b3b809156b3f96ddc49cee789f7dedd66,20.0       ,18.0
iec8fcd8475d2e8207592bb924d13dac0c4cc5427c,13.0       ,12.0
iebf70793022fec4d9309c3082021a5d035d51e96a,13.0       ,10.0
ie85f0a8bf76a2163b719a6518d99ccc9e62b9490f,12.0       ,8.0
ie56bd985d18444e1934320504cb7fd89367e9b32a,21.0       ,17.0
ie61ec47445eb97acd638c5114a2ecc52bf52244b5,18.0       ,16.0
ie3aece45418ee735720b458007c19a61461094c53,17.0       ,14.0
ie2f60a4ba0b8abfca1c82cf83fde695488b872e93,9.0        ,5.0
iee818606e1ad9ac335f6cb5dfb0808352a989968c,19.0       ,16.0
iedca5f1ad39734d9255530e1d54f8eea522695d49,11.0       ,8.0
iebfb4ef0ece67f11181c96dc1ec3ab4a884129c12,17.0       ,14.0
iea77121af00baab2d22f133fbf981fed6393903bf,16.0       ,10.0
ie12038727d19344e02206aa85d5b65e81c6bdb0a7,13.0       ,10.0
ie71ed15f574cf31ac0c7114027e77851bbeee4278,20.0       ,14.0
ie043672457cf23fa2ad003059614ebae7b423b0b6,13.0       ,11.0
iedc37c95616b4898731bb1abb4eca517367fbb08f,16.0       ,12.0
ie81e2b641c92ff44e69cb2618c9ebb4a11cd8bf92,12.0       ,11.0
ie704a825f2af774fabf139724afe001e006b4d99b,19.0       ,15.0
iecd6b127c6659d61c03c24ab42d08a3ffb03d534a,11.0       ,7.0
ieb09acd58495085091c799b4c7c7a8453f0f2a70e,8.0        ,8.0
ief5724dd0c6b98c26ed2da485688a9d365b8984d4,14.0       ,10.0
iebc3fd79642734e73e65f94b52826f9908f4e0121,12.0       ,9.0
ieb3969f8f79c49fdc2f24f8b4315bcc3562c9455a,13.0       ,10.0
iedbb9535f1a1277c462c75b4d9312fb99f88959cc,19.0       ,16.0
ied2190c718bff68aee25f0637813ead33c5f0ce06,13.0       ,7.0
ieb8b657f401fc74c875ef1fa45da1d1f2200433ac,16.0       ,15.0
ie747e25024426e5a1701d80587aeb97ad4b1826c6,18.0       ,12.0
iefbcb5c6ff0667a2cf7d03f424b00dd38f4a90c86,16.0       ,13.0
ie948008b4741c780a2e8d3ab9cac0f98b4c43d374,16.0       ,12.0
ief7d458d21a37003534eb0fe9510eeaffc93d0dd4,13.0       ,10.0
iebbeb39d1350f0de34b3695eb2a4637bb5b834a25,21.0       ,15.0
iecada21e59d2d2d079b824bfaa8ec9afbcfde7a11,22.0       ,17.0
ie6c1d49b3720d81d9b3e323fcf425cc24bdb2852b,17.0       ,11.0
ie38ebef347c124ac8bf3068b5d8d9c4614ec13871,17.0       ,15.0
ie97bb90fe5e84d6589f1bb48753d9c9f635fa5f3a,20.0       ,14.0
ie975a833ed568224d503ea60e14df749197e6b0ee,14.0       ,11.0
